DateTime,AddedIPs,RemovedIPs
1538556516,4,4
1538557838,1,7
1538558932,1,0
1538559755,0,4
1538560588,4,0
1538561737,2,5
1538562897,1,3
1538565269,10,3
1538566138,1,0
1538567442,8,2
1538568875,3,2
1538570560,1,4
1538571388,1,0
1538572531,3,3
1538574515,50,0
1538575837,1,2
1538577086,2,1
1538578587,1,1
1538579674,1,2
1538581349,2,1
1538584125,4,4
1538584966,4,6
1538585797,1,0
1538586880,1,3
1538587731,1,0
1538589387,2,2
1538591376,2,5
1538592803,3,0
1538594927,3,2
1538596360,2,4
1538597740,0,1
1538599240,5,4
1538600736,1,3
1538602232,3,3
1538602954,2,0
1538603805,0,1
1538604941,0,1
1538606451,2,4
1538607406,0,1
1538608483,0,4
1538610041,1,5
1538611838,5,4
1538613059,1,6
1538614590,5,1
1538615757,3,1
1538616518,8,0
1538617353,4,7
1538619280,18,3
1538620542,11,4
1538622881,19,5
1538624140,9,6
1538625394,7,1
1538626472,11,5
1538628165,6,6
1538629533,1,2
1538630937,2,0
1538632845,4,9
1538634536,6,0
1538636742,6,9
1538638248,1,3
1538640112,5,8
1538641242,3,0
1538642561,5,2
1538643934,4,4
1538645595,6,12
1538646148,3,0
1538647566,2,4
1538648728,3,0
1538649944,3,3
1538651140,0,4
1538651669,1,0
1538655279,9,11
1538656122,3,0
1538657438,1,1
1538658642,1,2
1538659724,2,0
1538660558,3,5
1538662175,2,1
1538663757,1,2
1538664987,3,0
1538666067,1,1
1538667329,1,2
1538669441,1,4
1538670635,0,6
1538671361,2,1
1538672187,1,0
1538673281,2,1
1538674844,1,2
1538675793,1,0
1538676879,1,1
1538677735,1,1
1538679932,1,6
1538681127,1,0
1538682159,2,2
1538684135,1,1
1538686588,3,2
1538688528,4,3
1538689974,3,2
1538691343,1,1
1538693790,2,4
1538694949,3,5
1538697403,9,8
1538699340,2,5
1538700555,2,5
1538701841,6,5
1538703053,5,8
1538704534,4,0
1538705745,6,3
1538707355,5,6
1538708624,3,1
1538710188,7,3
1538711603,8,1
1538713738,12,4
1538715396,7,5
1538716485,7,3
1538717350,2,0
1538718980,4,5
1538720146,8,6
1538721318,1,5
1538722536,6,1
1538723684,3,5
1538724942,6,1
1538726136,3,1
1538727352,2,7
1538728544,3,5
1538730331,9,4
1538731515,5,0
1538733410,7,5
1538734548,3,5
1538735733,7,6
1538736883,1,3
1538738936,14,4
1538739749,1,4
1538741446,5,3
1538742855,2,2
1538744661,1,50
1538745275,1,0
1538746123,1,0
1538747796,3,2
1538748871,1,0
1538750561,5,3
1538751939,2,1
1538754995,2,6
1538756438,3,2
1538757647,0,3
1538757764,1,1
1538759677,0,3
1538760786,1,2
1538762048,4,0
1538763280,1,3
1538764180,1,1
1538764960,2,0
1538766349,4,3
1538767840,2,1
1538768561,0,3
1538769882,2,2
1538771432,2,4
1538772652,2,2
1538774070,2,2
1538776234,1,2
1538777694,2,2
1538780138,1,1
1538782955,5,7
1538783816,1,0
1538784880,3,6
1538786448,6,5
1538787950,5,19
1538789744,2,9
1538792082,3,17
1538793649,6,6
1538794616,1,0
1538796596,5,28
1538799276,9,5
1538800860,6,2
1538801807,5,2
1538802944,3,3
1538803790,5,4
1538805043,4,0
1538806553,8,4
1538807742,2,5
1538809133,6,0
1538811650,3,3
1538813687,4,6
1538814531,1,0
1538815830,1,6
1538817283,5,5
1538818946,4,4
1538820872,5,3
1538822566,5,5
1538823405,2,0
1538824470,1,1
1538826166,6,3
1538827824,3,1
1538828978,5,3
1538830601,1,0
1538831740,3,5
1538832932,1,2
1538834204,3,1
1538835347,2,2
1538836649,4,1
1538838203,3,4
1538839844,0,1
1538841367,2,0
1538842518,2,2
1538843718,1,2
1538844928,2,0
1538846071,2,1
1538846923,2,0
1538847759,3,2
1538848930,2,1
1538849675,1,1
1538850536,2,0
1538851830,1,4
1538853270,2,1
1538854837,1,2
1538856654,1,4
1538858551,2,7
1538859939,1,1
1538861437,1,5
1538862166,2,1
1538863416,5,1
1538865646,2,1
1538867688,2,6
1538868530,3,0
1538870149,5,2
1538871283,4,8
1538872540,3,7
1538874344,4,2
1538876451,6,6
1538877412,4,1
1538878550,3,5
1538880048,8,5
1538882083,9,6
1538882926,6,0
1538884606,6,9
1538885750,2,5
1538886589,4,9
1538888192,3,0
1538889293,2,2
1538890852,7,5
1538892655,6,4
1538892884,3,0
1538894136,3,6
1538895402,5,3
1538896469,0,2
1538897737,4,7
1538898990,1,2
1538900073,3,7
1538901523,4,8
1538902588,0,3
1538903738,3,4
1538905256,3,7
1538906607,1,3
1538907931,3,0
1538908975,4,12
1538910870,5,3
1538911736,1,0
1538912568,2,3
1538914254,5,0
1538916156,5,4
1538917537,5,9
1538919047,1,2
1538921210,4,4
1538922539,2,0
1538924560,1,5
1538926191,2,1
1538926951,7,0
1538927790,3,0
1538928882,4,0
1538930441,6,1
1538932470,4,3
1538936080,7,6
1538937762,1,4
1538939140,2,2
1538939676,1,0
1538940530,1,0
1538941364,2,3
1538942699,2,2
1538944835,1,2
1538946346,4,1
1538947538,1,0
1538948564,3,2
1538950242,4,2
1538951740,2,0
1538952946,1,1
1538954941,53,1
1538956248,2,8
1538957681,6,3
1538959834,3,5
1538961052,2,2
1538962844,16,4
1538964895,11,5
1538966175,4,4
1538967950,8,7
1538968480,3,0
1538970128,7,9
1538971849,6,6
1538973644,7,6
1538975140,5,6
1538975690,8,0
1538976829,8,9
1538978192,14,0
1538980190,13,6
1538981450,8,3
1538982650,7,4
1538983737,5,0
1538984561,2,4
1538986476,5,4
1538987739,11,7
1538989391,8,5
1538990083,2,0
1538991762,9,5
1538992605,7,0
1538993671,2,3
1538995353,4,9
1538996191,1,0
1538998139,6,1
1539000403,5,13
1539001994,1,4
1539002550,0,1
1539003937,0,13
1539005123,2,0
1539006150,3,1
1539007840,2,1
